Date,obs_max,obs_min,zone_id,fc_high_made_daytm1,fc_low_made_daytm1,fc_high_for_dayt,fc_low_for_dayt,fc_high_for_daytp1,fc_low_for_daytp1,fc_high_for_daytp2,fc_low_for_daytp2,fc_high_for_daytp3,fc_low_for_daytp3,obs_risk,fc_risk_dayt,fc_risk_daytp1,fc_risk_daytp2,fc_risk_daytp3,zone_location_name
2022-01-01,-14,-29.2,21,-7,-26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Princeton
2022-01-01,-7.3,-20.7,22,-7,-23,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Quesnel
2022-01-01,-8.8,-21.5,23,-11,-18,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Revelstoke
2022-01-01,2.2,-7.1,24,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Vancouver
2022-01-01,-8.6,-22.9,25,-9,-21,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Salmon Arm
2022-01-01,6.4,-0.1,26,4,5,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Sandspit
2022-01-01,-3.2,-15.7,27,-8,-20,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Smithers
2022-01-01,0.3,-14.1,28,-10,-13,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Terrace
2022-01-01,-13.2,-20.3,29,-10,-20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Vernon
2022-01-01,3.5,-12.4,30,2,-6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Victoria
2022-01-01,-5.4,-17.5,31,-10,-16,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Whistler
2022-01-01,-8.5,-21.2,32,-10,-20,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Williams Lake
2022-01-02,6.5,-4.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Abbotsford
2022-01-02,-10.8,-17.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Blue River
2022-01-02,-4.6,-15.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Burns Lake
2022-01-02,-7.5,-15.3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Clinton
2022-01-02,6,1.9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Comox
2022-01-02,-8,-18.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Cranbrook
2022-01-02,-7.1,-13.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Creston
2022-01-02,-15.9,-22.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,Dease Lake
2022-01-02,-27.1,-28.7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Fort Nelson
2022-01-02,-23.3,-28.1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Fort St. John
2022-01-02,-2.9,-7.8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Kamloops
2022-01-02,-7,-18.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Kelowna
2022-01-02,-1.8,-9.4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Lytton
2022-01-02,-6.6,-11.7,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Nakusp
2022-01-02,-5.1,-14.1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Nelson
2022-01-02,-3.5,-9.2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Penticton
2022-01-02,5.3,0.1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Port Alberni
2022-01-02,3.8,0.2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Port Hardy
2022-01-02,-5.7,-13.1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Prince George
2022-01-02,4.1,0.8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Prince Rupert
2022-01-02,-8.8,-19.4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Princeton
2022-01-02,-3.3,-12.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Quesnel
2022-01-02,-6,-9.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Revelstoke
2022-01-02,4,0.1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Vancouver
2022-01-02,-5.3,-11.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Salmon Arm
2022-01-02,2.6,-0.3,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,Sandspit
2022-01-02,-2.8,-9.9,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Smithers
2022-01-02,0,-4.3,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Terrace
2022-01-02,-8.4,-17.4,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Vernon
2022-01-02,7.1,2.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Victoria
2022-01-02,-2.2,-5.6,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Whistler
2022-01-02,-3.3,-10.9,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Williams Lake
2022-01-03,6.4,0.4,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Abbotsford
2022-01-03,-8.1,-14.5,2,-9,-13,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,Blue River
2022-01-03,-13.1,-23.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Burns Lake
2022-01-03,-3.6,-19.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Clinton
2022-01-03,5.9,1.5,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Comox
2022-01-03,NA,NA,6,-7,-11,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Cranbrook
2022-01-03,0.5,-7.4,7,-5,-7,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Creston
2022-01-03,-22.3,-26.9,8,-24,-27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Dease Lake
2022-01-03,-28.6,-33,9,-32,-33,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Fort Nelson
2022-01-03,-27.9,-32.3,10,-28,-31,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Fort St. John
2022-01-03,0.8,-8.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Kamloops
2022-01-03,0.1,-7.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Kelowna
2022-01-03,0.9,-7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Lytton
2022-01-03,-2.2,-7.3,14,-6,-9,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Nakusp
2022-01-03,0.1,-5.4,15,-4,-8,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Nelson
2022-01-03,0.4,-4.2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Penticton
2022-01-03,3.8,-1.5,17,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Port Alberni
2022-01-03,1.5,-1.3,18,2,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Port Hardy
2022-01-03,-13.1,-23,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Prince George
2022-01-03,3.5,-6.1,20,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Prince Rupert
2022-01-03,-4.6,-13.9,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,Princeton
2022-01-03,-3.3,-21,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Quesnel
2022-01-03,-4.7,-7.6,23,-7,-8,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Revelstoke
2022-01-03,3.7,0.5,24,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Vancouver
2022-01-03,-2.1,-6.4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Salmon Arm
2022-01-03,1.5,-3.2,26,1,-2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,Sandspit
2022-01-03,-8.1,-19.3,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Smithers
2022-01-03,-0.7,-14.5,28,-9,-8,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Terrace
2022-01-03,-1.7,-8.6,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Vernon
2022-01-03,5.1,1.1,30,4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Victoria
2022-01-03,-1,-3,31,-4,-3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Whistler
2022-01-03,-3.8,-22.1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,Williams Lake
2022-01-04,4.3,-3.4,1,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Abbotsford
2022-01-04,-14.5,-17,2,-9,-11,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Blue River
2022-01-04,-22.7,-31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Burns Lake
2022-01-04,-19.6,-24.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Clinton
2022-01-04,3.6,-0.3,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Comox
2022-01-04,-5,-14.9,6,-11,-15,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Cranbrook
2022-01-04,-0.4,-5.9,7,-6,-7,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Creston
2022-01-04,-26.8,-28.9,8,-25,-32,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,Dease Lake
2022-01-04,-33,-38.1,9,-32,-33,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,Fort Nelson
2022-01-04,-32.3,-36.7,10,-31,-33,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Fort St. John
2022-01-04,-8.5,-14.3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Kamloops
2022-01-04,-2,-8.7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Kelowna
2022-01-04,-7,-14.1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Lytton
2022-01-04,-1,-5.9,14,-7,-7,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Nakusp
2022-01-04,-0.5,-5.3,15,-6,-6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Nelson
2022-01-04,-1.8,-4.8,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Penticton
2022-01-04,1.1,-1.2,17,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Port Alberni
2022-01-04,2,-1.9,18,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Port Hardy
2022-01-04,-22.3,-25.5,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Prince George
2022-01-04,-5.3,-12,20,-7,-10,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Prince Rupert
2022-01-04,-8.9,-18.9,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Princeton
2022-01-04,-21,-22.5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Quesnel
2022-01-04,-5.6,-9.3,23,-8,-7,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Revelstoke
2022-01-04,2.2,0.2,24,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Vancouver
2022-01-04,-4.4,-11.3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Salmon Arm
2022-01-04,-1.3,-3,26,-4,-3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Sandspit
2022-01-04,-18.6,-24.1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Smithers
2022-01-04,-14,-17.6,28,-15,-17,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Terrace
2022-01-04,-3.5,-11.3,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Vernon
2022-01-04,5,1,30,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Victoria
2022-01-04,-5.5,-11.5,31,-5,-6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Whistler
2022-01-04,-22.1,-27.1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Williams Lake
2022-01-05,-3,-7,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Abbotsford
2022-01-05,-16.3,-18.9,2,-13,-15,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Blue River
2022-01-05,-25.2,-36,3,-24,-30,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Burns Lake
2022-01-05,-23.3,-27.6,4,-22,-23,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Clinton
2022-01-05,0.2,-3.1,5,1,-2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Comox
2022-01-05,-12.8,-20.2,6,-13,-15,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Cranbrook
2022-01-05,-2.4,-7.3,7,-4,-7,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Creston
2022-01-05,-28.7,-40.3,8,-27,-36,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,Dease Lake
2022-01-05,-34.4,-41.6,9,-32,-36,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,Fort Nelson
2022-01-05,-30.5,-37.1,10,-31,-34,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Fort St. John
2022-01-05,-14.2,-18.6,11,-11,-13,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Kamloops
2022-01-05,-8.7,-13.8,12,-7,-11,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Kelowna
2022-01-05,-13.9,-17.1,13,-9,-11,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Lytton
2022-01-05,-4.2,-9.4,14,-5,-7,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,Nakusp
2022-01-05,-1.7,-6.6,15,-4,-7,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Nelson
2022-01-05,-4.7,-10.2,16,-5,-7,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Penticton
2022-01-05,-0.2,-3.2,17,0,-4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Port Alberni
2022-01-05,-0.1,-1.1,18,1,-3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Port Hardy
2022-01-05,-24.1,-31.4,19,-24,-30,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Prince George
2022-01-05,-6.4,-12.4,20,-8,-13,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Prince Rupert
2022-01-05,-11.9,-19,21,-6,-14,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Princeton
2022-01-05,-22.5,-28.7,22,-22,-26,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Quesnel
2022-01-05,-9,-13.7,23,-8,-9,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Revelstoke
2022-01-05,0.4,-2.1,24,2,-2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Vancouver
2022-01-05,-11.3,-15.6,25,-7,-11,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Salmon Arm
2022-01-05,-1.3,-3.2,26,-3,-4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,Sandspit
2022-01-05,-23,-29.2,27,-22,-27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Smithers
2022-01-05,-17.4,-19.7,28,-15,-18,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Terrace
2022-01-05,-10.3,-15.8,29,-6,-10,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Vernon
2022-01-05,2,-1.1,30,3,-2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Victoria
2022-01-05,-12.4,-15.4,31,-7,-11,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Whistler
2022-01-05,-25.6,-28.4,32,-23,-25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,Williams Lake
2022-01-06,-0.1,-7.2,1,0,-3,-1,-3,4,0,4,0,8,1,1,1,1,1,1,Abbotsford
2022-01-06,-16.1,-19.3,2,-12,-18,-13,-18,-10,-14,-10,-16,-6,-11,1,1,1,1,1,Blue River
2022-01-06,-21.1,-28.4,3,-21,-28,-22,-28,-19,-23,-17,-20,-10,-18,1,1,1,1,1,Burns Lake
2022-01-06,-17.7,-23.9,4,-13,-21,-16,-21,-16,-16,-7,-18,-4,-8,1,1,1,1,1,Clinton
2022-01-06,3.8,-0.7,5,3,0,3,0,2,3,3,-1,6,4,1,1,1,1,1,Comox
2022-01-06,-14.3,-21.1,6,-11,-17,-12,-17,-4,-10,-6,-9,-5,-11,1,1,1,1,1,Cranbrook
2022-01-06,-6.9,-9.5,7,-6,-11,-6,-11,-2,-5,0,-3,0,-5,1,1,1,1,1,Creston
2022-01-06,-36.4,-43.5,8,-33,-41,-33,-41,-29,-35,-27,-34,-24,-28,0,1,1,1,1,Dease Lake
2022-01-06,-33.6,-42.6,9,-33,-40,-37,-40,-28,-37,-27,-36,-27,-35,0,1,1,1,1,Fort Nelson
2022-01-06,-29.2,-36.8,10,-26,-35,-37,-35,-30,-38,-32,-34,-15,-34,1,1,1,1,1,Fort St. John
2022-01-06,-12.8,-17.4,11,-6,-12,-8,-12,-6,-8,-5,-12,-1,-6,1,1,1,1,1,Kamloops
2022-01-06,-8.3,-13.9,12,-7,-12,-7,-12,-2,-6,-2,-7,0,-4,1,1,1,1,1,Kelowna
2022-01-06,-15,-17.9,13,-3,-12,-11,-12,-5,-9,2,-6,3,-1,1,1,1,1,1,Lytton
2022-01-06,-7.7,-10.1,14,-6,-10,-6,-10,-2,-5,-1,-6,0,-6,1,1,1,1,1,Nakusp
2022-01-06,-4.5,-6.2,15,-5,-7,-5,-7,-1,-5,-2,-5,-1,-6,1,1,1,1,1,Nelson
2022-01-06,-3.5,-11.8,16,0,-9,-5,-9,0,-4,-2,-7,0,-4,1,1,1,1,1,Penticton
2022-01-06,0.6,-1.2,17,2,-1,1,-1,2,1,3,-1,4,2,1,1,1,1,1,Port Alberni
2022-01-06,1.9,-0.8,18,4,0,3,0,1,-1,4,-2,8,5,1,1,1,1,1,Port Hardy
2022-01-06,-22.1,-26.6,19,-19,-24,-22,-24,-21,-24,-16,-25,-6,-16,1,1,1,1,1,Prince George
2022-01-06,-3.4,-8.2,20,-4,-8,-5,-8,-4,-7,0,-3,6,0,1,1,1,1,1,Prince Rupert
2022-01-06,-11.2,-16.4,21,-6,-14,-10,-14,-1,-9,-3,-9,-2,-7,1,1,1,1,1,Princeton
2022-01-06,-21.5,-26.1,22,-25,-24,-21,-24,-18,-21,-13,-21,-2,-13,1,1,1,1,1,Quesnel
2022-01-06,-11.3,-14.5,23,-7,-11,-7,-11,-5,-10,-5,-8,-3,-6,1,1,1,1,1,Revelstoke
2022-01-06,5.8,-2.3,24,3,0,3,0,3,4,4,-1,5,2,1,1,1,1,1,Vancouver
2022-01-06,-9.2,-15.4,25,-7,-12,-10,-12,-5,-9,-5,-10,-2,-5,1,1,1,1,1,Salmon Arm
2022-01-06,-1.2,-5.1,26,-2,-1,-2,-1,1,-4,6,1,7,6,0,1,1,1,1,Sandspit
2022-01-06,-19.3,-23.1,27,-17,-23,-20,-23,-18,-19,-17,-20,-10,-18,1,1,1,1,1,Smithers
2022-01-06,-16.5,-18.4,28,-13,-17,-14,-17,-13,-13,-10,-12,-5,-11,1,1,1,1,1,Terrace
2022-01-06,-9.2,-15.8,29,-8,-13,-9,-13,-4,-9,-2,-7,0,-4,1,1,1,1,1,Vernon
2022-01-06,6.9,-1.2,30,5,0,5,0,5,5,5,1,6,2,1,1,1,1,1,Victoria
2022-01-06,-13.4,-15.7,31,-5,-10,-7,-10,-5,-6,-3,-6,1,-4,1,1,1,1,1,Whistler
2022-01-06,-23.9,-27.3,32,-18,-20,-21,-20,-18,-22,-13,-21,-2,-13,1,1,1,1,1,Williams Lake
2022-01-07,2.8,-0.1,1,4,0,4,0,4,-2,6,1,4,2,1,1,1,1,1,Abbotsford
2022-01-07,-10.3,-16.1,2,-10,-14,-12,-14,-13,-17,-6,-16,-2,-11,1,1,1,1,1,Blue River
2022-01-07,-17.8,-24.2,3,-19,-23,-21,-23,-17,-24,-12,-16,-6,-13,1,1,1,1,1,Burns Lake
2022-01-07,-15.3,-20.5,4,-16,-16,-19,-16,-8,-21,-4,-9,-1,-8,1,1,1,1,1,Clinton
2022-01-07,2.2,-1.2,5,2,3,1,3,4,-1,6,3,6,2,1,1,1,1,1,Comox
2022-01-07,-8.4,-14.4,6,-4,-10,-7,-10,-5,-11,-4,-12,0,-8,1,1,1,1,1,Cranbrook
2022-01-07,1.2,-7.3,7,-2,-5,-2,-5,-3,-3,-3,-7,0,-5,1,1,1,1,1,Creston
2022-01-07,-29.5,-37.3,8,-29,-35,-32,-35,-33,-36,-24,-35,-17,-23,0,1,1,1,1,Dease Lake
2022-01-07,-24.4,-33.6,9,-28,-37,-27,-37,-33,-36,-30,-35,-22,-29,1,1,1,1,1,Fort Nelson
2022-01-07,-24.3,-30.7,10,-30,-38,-29,-38,-32,-34,-21,-34,-10,-16,1,1,1,1,1,Fort St. John
2022-01-07,-7.8,-13.1,11,-6,-8,-9,-8,-6,-12,-3,-7,0,-4,1,1,1,1,1,Kamloops
2022-01-07,-1.3,-8.6,12,-2,-6,-7,-6,-6,-10,-3,-6,-2,-5,1,1,1,1,1,Kelowna
2022-01-07,-9.1,-15.6,13,-5,-9,-7,-9,-1,-12,0,-2,2,-4,1,1,1,1,1,Lytton
2022-01-07,-4.2,-7.9,14,-2,-5,-4,-5,-2,-8,-4,-9,-3,-8,0,1,1,1,1,Nakusp
2022-01-07,1.7,-4.6,15,-1,-5,-1,-5,-3,-7,-2,-5,-2,-6,1,1,1,1,1,Nelson
2022-01-07,2.4,-3.7,16,0,-4,-1,-4,0,-9,-3,-6,-2,-5,1,1,1,1,1,Penticton
2022-01-07,2.1,-3.7,17,2,1,1,1,3,-2,7,2,7,4,1,1,1,1,1,Port Alberni
2022-01-07,1.9,-4.2,18,1,-1,2,-1,4,-1,8,5,8,7,1,1,1,1,1,Port Hardy
2022-01-07,-19.1,-22.4,19,-21,-24,-22,-24,-17,-25,-7,-17,-1,-7,1,1,1,1,1,Prince George
2022-01-07,-2.4,-11.6,20,-4,-7,-4,-7,2,-2,6,3,7,5,1,1,1,1,1,Prince Rupert
2022-01-07,1.4,-11.4,21,-1,-9,-5,-9,-6,-15,-3,-9,-3,-10,1,1,1,1,1,Princeton
2022-01-07,-17.4,-25.4,22,-18,-21,-19,-21,-12,-24,-3,-12,2,-4,1,1,1,1,1,Quesnel
